store,week,unibranddff,upc,descripdff,size,reprice,resales,move,sale,prom,whprice,qty
33,360,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.99,17.940001,6,,0,1.460017,1
33,357,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.99,26.91,9,,0,1.949181,1
33,356,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.1900001,35.040001,16,B,1,1.9491,1
33,355,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.3399999,21.059999,9,B,1,1.744938,1
33,354,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.99,879.58002,442,S,1,1.6491131,1
131,378,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8900001,40.459999,14,,0,2.0894699,1
131,375,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,22.799999,8,,0,1.921185,1
131,374,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,14.25,5,,0,1.5612299,1
131,364,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.99,25.870001,13,B,1,1.8128901,1
131,357,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.1300001,715.67999,336,,0,1.942134,1
89,335,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,22.799999,8,,0,1.22778,1
131,350,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.51,105.42,42,B,1,1.703788,1
78,291,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.3900001,57.360001,24,,0,1.560192,1
131,346,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.99,59.700001,30,S,1,1.760155,1
131,341,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.6500001,58.299999,22,,0,1.53912,1
131,340,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.42,1262.38,889,S,1,1.360076,1
131,339,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,14.25,5,,0,1.52019,1
33,338,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.99,11.96,4,,0,1.760213,1
48,277,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.0899999,43.889999,21,B,1,1.476585,1
131,316,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,25.65,9,,0,1.587165,1
33,326,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.99,14.95,5,,0,1.909115,1
131,314,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,17.1,6,,0,1.460055,1
131,312,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,19.950001,7,,0,1.460055,1
131,308,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,17.1,6,,0,1.460055,1
101,373,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,31.35,11,,0,1.6732351,1
132,281,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.3900001,19.120001,8,,0,1.332186,1
131,298,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.5,2434.5,1623,S,1,0.97259998,1
73,358,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,45.599998,16,,0,1.4942549,1
104,285,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.21,41.990002,19,,0,1.559376,1
